,rally,receiving_shot,winning_shot,combined
2833,6r29f3s3b2f1f1f1f2b+3b1v1*,b1,v1,b1v1
2834,4+f28h2s+3z3r2r1*,r2,r1,r2r1
2835,4+b28h2f3*,h2,f3,h2f3
2836,4+s18i2f+3f1v^1*,i2,f1,i2f1
2837,4+b38z3f2z2b1*,z2,b1,z2b1
2838,c5+f18v1s+3z1z1*,z1,z1,z1z1
2839,4+f27h;1r1v3*,r1,v3,r1v3
2840,6+b17f3f3z^2*,f3,f3,f3f3
2841,5+f28v1m3o2*,m3,o2,m3o2
2842,6+f38z2b1*,z2,b1,z2b1
2843,4+f;28v1s2v3*,s2,v3,s2v3
2844,6+s17v2b3*,v2,b3,v2b3
2845,4+b28z1m3o1*,m3,o1,m3o1
2846,4+b28z1b2v1m3o3*,m3,o3,m3o3
2847,6+s27v1f1*,v1,f1,v1f1
2848,6+s17z3b1*,z3,b1,z3b1
2849,6+s27v1l2*,v1,l2,v1l2
2850,5+f37z1m1o3*,m1,o3,m1o3
2851,5+f18v2f3*,v2,f3,v2f3
2852,5+b27z1b3z3*,b3,z3,b3z3
2853,c6+s17i2b3v3*,b3,v3,b3v3
2854,5+b27v1b+3z2v1*,z2,v1,z2v1
2855,4+b27h1f1v3*,f1,v3,f1v3
2856,6+s27v3m2o1*,m2,o1,m2o1
2857,c6+s37v1l2o3*,l2,o3,l2o3
2858,6+b37z2b2z3*,b2,z3,b2z3
2859,4+f28z3b2z^1*,z3,b2,z3b2
2860,4+f18v1l2o1*,l2,o1,l2o1
2861,4+f38z3b1*,z3,b1,z3b1
2862,c5+f27h3b1*,h3,b1,h3b1
2863,6+f28z2m3p3*,m3,p3,m3p3
2864,6+b28z3b1v1*,b1,v1,b1v1
2865,6b28z3m3*,z3,m3,z3m3
2866,6+f37v3m3o1*,m3,o1,m3o1
2867,5+b18h3b2*,h3,b2,h3b2
2868,4+f28v1f2v3s1v1*,s1,v1,s1v1
2869,4+f18v2l3*,v2,l3,v2l3
2870,4+f28z3s2v1*,s2,v1,s2v1
2871,6f38b3s3f3s1f1f1f3*,f1,f3,f1f3
2872,4+f28z3s1v1*,s1,v1,s1v1
2873,4+b27j1f3z2b3*,z2,b3,z2b3
2874,6+f18v3b1*,v3,b1,v3b1
2875,6+b28z3b3*,z3,b3,z3b3
2876,6+s27v3b1v^1*,v3,b1,v3b1
2877,5+b27z2f1*,z2,f1,z2f1
2878,4+f27v3m2o1*,m2,o1,m2o1
2879,5+b28z3b1*,z3,b1,z3b1
2880,4+f27v3m3o1r2j1*,r2,j1,r2j1
2881,6+f27f1l2o3*,l2,o3,l2o3
2882,4+f38z2f2v1*,f2,v1,f2v1
2883,5+b27z1f1*,z1,f1,z1f1
2884,6+f27v3m1o1*,m1,o1,m1o1
2885,6+f27h3b1*,h3,b1,h3b1
2886,4+b37z1f3z2*,f3,z2,f3z2
2887,6+b17v1l2o2*,l2,o2,l2o2
2888,6+s37z3s2v1r3v3*,r3,v3,r3v3
2889,5+s28v3m2o1*,m2,o1,m2o1
2890,6+s27z2f3*,z2,f3,z2f3
2891,6+s17z3s+1v2z3*,v2,z3,v2z3
2892,4+b37i1f1v3*,f1,v3,f1v3
2893,6+s27i3b1*,i3,b1,i3b1
2894,6+s17v1f1h2*,f1,h2,f1h2
2895,6+s37i3s3*,i3,s3,i3s3
2896,4+f27v1l3*,v1,l3,v1l3
2897,6+f28h3b1v1*,b1,v1,b1v1
2898,c4+b38i2f3*,i2,f3,i2f3
2899,6+b37i3b3z1f1*,z1,f1,z1f1
2900,6+f27h1f1v2*,f1,v2,f1v2
2901,6+f27h2b2z3*,b2,z3,b2z3
2902,6+f27v3m2o1*,m2,o1,m2o1
2903,c5+b28v3b1*,v3,b1,v3b1
2904,4+s27i3f3*,i3,f3,i3f3
2905,4+b18v3m3p1*,m3,p1,m3p1
2906,5+b27z3s3z2*,s3,z2,s3z2
2907,4+b27z3f3*,z3,f3,z3f3
2908,4+s37b1f2v2b+3*,f2,v2,f2v2
2909,5+s27z1f3z3*,f3,z3,f3z3
2910,6+f18v3b3*,v3,b3,v3b3
2911,5+b37v3b2z1*,b2,z1,b2z1
2912,5+f27f1f1v3*,f1,v3,f1v3
2913,6+f27v3m3o1*,m3,o1,m3o1
2914,6+s37z1f1*,z1,f1,z1f1
2915,6+b18v3b1*,v3,b1,v3b1
2916,4+s37v3b2v1*,b2,v1,b2v1
2917,4+f28h3m2o1*,m2,o1,m2o1
2918,6+s27z1f3*,z1,f3,z1f3
2919,6f28f3s2f1f1f3*,f1,f3,f1f3
2920,4+s37y1s3z1*,s3,z1,s3z1
2921,6s37b+3b2z1f3*,z1,f3,z1f3
2922,4+f27v3m1o3*,m1,o3,m1o3
2923,5r39b1f3s3b1f3y1*,f3,y1,f3y1
2924,6+b27z1f3z2b-3z2o2*,z2,o2,z2o2
2925,5+b37z3b1*,z3,b1,z3b1
2926,4r27f;3b3b3s3b3b1*,b3,b1,b3b1
2927,5+b27z3m3*,z3,m3,z3m3
2928,6f38b-3s2v1*,s2,v1,s2v1
2929,4s28f+3s3z1v+2f=2v1*,z1,v1,z1v1
2930,5+f28v3m3o3*,m3,o3,m3o3
2931,6s38b1f1*,b1,f1,b1f1
