,rally,receiving_shot,winning_shot,combined
3897,4+f+28z1v3z1*,v3,z1,v3z1
3898,6+f28v1f3*,v1,f3,v1f3
3899,6+b28z2m3o1r2v1f1v^3s2v2*,s2,v2,s2v2
3900,5+b28v3b2z1*,b2,z1,b2z1
3901,4+f38z3m3*,z3,m3,z3m3
3902,6+f28h2b3z1f3z3*,f3,z3,f3z3
3903,5+b38z3b1v1*,b1,v1,b1v1
3904,4+b28v1f3*,v1,f3,v1f3
3905,6+s27z3m3o1*,m3,o1,m3o1
3906,4+b18h1f3z2s1*,z2,s1,z2s1
3907,4b19f2f2f+3s1v1*,s1,v1,s1v1
3908,5+b28z3m2o3*,m2,o3,m2o3
3909,4+s27v1l2*,v1,l2,v1l2
3910,6+f17f1f3z3*,f3,z3,f3z3
3911,4b28b1s2f2f1b1s2s+2m+1m2o3*,m2,o3,m2o3
3912,6+b27v1b1*,v1,b1,v1b1
3913,4+f17z1m1*,z1,m1,z1m1
3914,6+f27z1b3v2*,b3,v2,b3v2
3915,4+f37v1b1s3*,b1,s3,b1s3
3916,6+b27h2b1*,h2,b1,h2b1
3917,c6+b17z1b3v3*,b3,v3,b3v3
3918,6+f27h2b3*,h2,b3,h2b3
3919,6+f37v2b1*,v2,b1,v2b1
3920,6+b37v2f1*,v2,f1,v2f1
3921,6+f28v3b2z1f3v3*,f3,v3,f3v3
3922,4+f28v3b3v1*,b3,v1,b3v1
3923,c4+b28z1m3o3*,m3,o3,m3o3
3924,4+s28v1b3z3*,b3,z3,b3z3
3925,5+f27i1b3z3*,b3,z3,b3z3
3926,6+b27v3m1o3*,m1,o3,m1o3
3927,4+b37i1s1v2*,s1,v2,s1v2
3928,4+s17f3f1v1*,f1,v1,f1v1
3929,6+f38z1m2o1*,m2,o1,m2o1
3930,6+f28v3b2v3*,b2,v3,b2v3
3931,4+b38z3f1*,z3,f1,z3f1
3932,4+f18v2f3z3j1*,z3,j1,z3j1
3933,6+f17f3m2o1*,m2,o1,m2o1
3934,6+b28v1l3*,v1,l3,v1l3
3935,6+f27i2f1*,i2,f1,i2f1
3936,6+b27z1k3*,z1,k3,z1k3
3937,6+s27h2b1z2s3v1*,s3,v1,s3v1
3938,6b28f3f3s2h+1f1*,s2,f1,s2f1
3939,4s38f3s3f+3b3v;2*,s3,b3,s3b3
3940,4b28f1b1f3*,b1,f3,b1f3
3941,6b28b3s2f+3*,b3,s2,b3s2
3942,6f28s2f1f1b+3b3*,f1,b3,f1b3
3943,6f17f3f3s1b1*,s1,b1,s1b1
3944,4b38s2f+3s1z3*,s1,z3,s1z3
3945,c6+s27v3b1z^2*,v3,b1,v3b1
3946,4b38f3s3f1*,s3,f1,s3f1
3947,4b27h+3f2v1*,f2,v1,f2v1
3948,6f19f2f1f2f+2b1*,f2,b1,f2b1
3949,6s28f+3s2v3m1o1*,m1,o1,m1o1
3950,6b28y3f;3b1*,y3,b1,y3b1
3951,6b28b2b+3b2v^1*,b2,b2,b2b2
3952,6s28s1f+1i3*,s1,i3,s1i3
3953,c4b28b2b+3s2k1*,s2,k1,s2k1
3954,5s18b1f1b2s2f1f1b1f3*,b1,f3,b1f3
3955,4b28f2r+3f1*,f2,f1,f2f1
3956,6b28f1f3*,f1,f3,f1f3
3957,4+b27v3f;3i1s-1*,v3,i1,v3i1
3958,4+b28i2f3*,i2,f3,i2f3
3959,6+b28v3b1*,v3,b1,v3b1
3960,6+b27v3s3f3*,s3,f3,s3f3
3961,4b28f1b1*,f1,b1,f1b1
3962,6+b28z1f1*,z1,f1,z1f1
3963,6+f37v3b1*,v3,b1,v3b1
3964,6+b28z3b1z1*,b1,z1,b1z1
3965,6+b27h2b2v3b1*,v3,b1,v3b1
3966,6+b27v3r1*,v3,r1,v3r1
3967,6+b37i2f+3z1z3z3f1*,z3,f1,z3f1
3968,6+b27v2m2o1*,m2,o1,m2o1
3969,6+f28z2f3z3f3*,z3,f3,z3f3
3970,4+r37v3s2s1*,s2,s1,s2s1
3971,4+f27z2m3o2s-1*,m3,o2,m3o2
3972,4+s+27z1z3z2v2*,z2,v2,z2v2
3973,4+s27i3m1p1f1*,p1,f1,p1f1
3974,4+b28z3f1v2*,f1,v2,f1v2
3975,6+f27h1f1v1f3*,v1,f3,v1f3
3976,6+b27i2f3*,i2,f3,i2f3
3977,4+r27v3m3o1l2o3*,l2,o3,l2o3
3978,4+b28z3f+1z2z2m2o3*,m2,o3,m2o3
3979,6+f27f1b1*,f1,b1,f1b1
3980,6+s27v3m1o2*,m1,o2,m1o2
3981,4+b28z1b2v1b3z3f3*,z3,f3,z3f3
3982,4+b37z3l2*,z3,l2,z3l2
3983,6+b28h2b3*,h2,b3,h2b3
3984,6+s17z3b2v1*,b2,v1,b2v1
3985,4+b27v1b1*,v1,b1,v1b1
3986,4+b27z3f3*,z3,f3,z3f3
3987,5+f28z1m3p1*,m3,p1,m3p1
3988,4+f18v3b1z2*,b1,z2,b1z2
3989,4+b38z3f1z1*,f1,z1,f1z1
3990,6+f28i2f3z2j3*,z2,j3,z2j3
3991,6+f37v2f2v3*,f2,v3,f2v3
3992,6+b17h1b1*,h1,b1,h1b1
3993,6+s27s1b3*,s1,b3,s1b3
3994,6+b18v1b2z3*,b2,z3,b2z3
3995,6+b38v2f3*,v2,f3,v2f3
3996,5+b;27s1b1v3*,b1,v3,b1v3
3997,6+s38i2b1v;2*,i2,b1,i2b1
3998,6+s27v3f3z;1*,v3,f3,v3f3
3999,4+f38h2f3*,h2,f3,h2f3
4000,6+b37u3r1*,u3,r1,u3r1
4001,4+b28v1l2o1*,l2,o1,l2o1
4002,6+f37h1l2o3*,l2,o3,l2o3
4003,4+f18z2f3*,z2,f3,z2f3
4004,c4+b27z3m1o1*,m1,o1,m1o1
4005,5+b28v2b1v;1f3*,b1,f3,b1f3
4006,4+b28v1l1o3*,l1,o3,l1o3
4007,5+s27z3m2o1*,m2,o1,m2o1
4008,6+s28v3m2o3b1v1*,b1,v1,b1v1
4009,6+b28z3b1*,z3,b1,z3b1
4010,6+f28z3b1v1*,b1,v1,b1v1
4011,6+s28v1f2v3b1*,v3,b1,v3b1
4012,4+f28z2b3*,z2,b3,z2b3
4013,6+s27r3b1v1*,b1,v1,b1v1
4014,5+s38z3s3*,z3,s3,z3s3
4015,5+s27v3m2o3*,m2,o3,m2o3
4016,4+r27f3m1o1*,m1,o1,m1o1
4017,6+b28z3b1v1f3*,v1,f3,v1f3
4018,6+s37z3i1*,z3,i1,z3i1
4019,5+s27v3b1v1*,b1,v1,b1v1
4020,6+b28v2m3o3*,m3,o3,m3o3
4021,6+b18v2f3*,v2,f3,v2f3
4022,6+b28z3b1v1*,b1,v1,b1v1
4023,6+b28v1f1*,v1,f1,v1f1
4024,6+b28v1f3z3*,f3,z3,f3z3
4025,6+r37z3b1v1*,b1,v1,b1v1
4026,4+b28v1f1*,v1,f1,v1f1
4027,4+b27v3b1*,v3,b1,v3b1
4028,6+f27s3b3z1*,b3,z1,b3z1
4029,4+f38i3b3z1*,b3,z1,b3z1
4030,6+s27i1r1v3*,r1,v3,r1v3
4031,6+m27o1l3o3*,l3,o3,l3o3
4032,4+s18v1f3z3*,f3,z3,f3z3
4033,6+s37s1f1v2s+3z3i1*,z3,i1,z3i1
4034,6+f27h3b3z1*,b3,z1,b3z1
4035,6+b28i2f1*,i2,f1,i2f1
4036,4+f28v2b3z3r1v1v2*,v1,v2,v1v2
4037,6+f38z2r-1l1f3z3*,f3,z3,f3z3
4038,c4+b28v1f1*,v1,f1,v1f1
4039,c4+s27f3m3o3*,m3,o3,m3o3
4040,6+b28z2f3*,z2,f3,z2f3
4041,4+s37z1f1v2*,f1,v2,f1v2
4042,4f28b2r+1b2v3*,b2,v3,b2v3
4043,c6f18b2s+2b2z1m1p3*,m1,p3,m1p3
4044,4r28b1b2s+2f3v1b1*,v1,b1,v1b1
4045,5+b38v1b3v3*,b3,v3,b3v3
4046,4f37r+1b2z3*,b2,z3,b2z3
4047,5f19b2f3f3r+1m2p2f+2b2z3*,b2,z3,b2z3
4048,6+f28v2b3v1*,b3,v1,b3v1
4049,4+f17b1m3o3*,m3,o3,m3o3
4050,5s28b+3f2v1*,f2,v1,f2v1
4051,6f28s+2b2z3f3v1*,f3,v1,f3v1
4052,4f28f2f+1b1z3*,b1,z3,b1z3
4053,4+b37h2m+1f1z3r1*,z3,r1,z3r1
4054,6f28s2b2s+1b3v3*,b3,v3,b3v3
4055,5f28f3f2b+3f1*,f2,f1,f2f1
4056,4f28b+3b1z2*,b1,z2,b1z2
4057,5f28b3f3f3f+3f2v1*,f2,v1,f2v1
4058,5f39f3f2f+1b3*,f2,b3,f2b3
4059,6+f27z3f1*,z3,f1,z3f1
4060,6+f27i3f2*,i3,f2,i3f2
4061,6+f17z2f+3v2z1*,v2,z1,v2z1
4062,4+f27z1m1o1*,m1,o1,m1o1
4063,6f18b1b2f1s+2b1*,f1,b1,f1b1
4064,4+b27z1m1o2*,m1,o2,m1o2
4065,5f29b2f2b+1b1z3*,b1,z3,b1z3
4066,5s18f3f2b2s2f2f2b1s+2b1*,b1,b1,b1b1
4067,6f18b3f2f+1b2v3*,b2,v3,b2v3
4068,c6+f28v2f3v1m2o3*,m2,o3,m2o3
4069,6f27b+1b1z3*,b1,z3,b1z3
4070,4+f27h2f+2b2z3*,b2,z3,b2z3
4071,4s28b+1b1z3f2v1*,f2,v1,f2v1
4072,5f18k-2f3f3f2b2s+2b1*,b2,b1,b2b1
4073,4+b27v2b3v2m2o3*,m2,o3,m2o3
4074,5+f28v3f1h1*,f1,h1,f1h1
4075,6+s27v3b1v1f1*,v1,f1,v1f1
4076,6+s27v1b1*,v1,b1,v1b1
4077,4+b38i2m3o3*,m3,o3,m3o3
4078,6+b27h1s+3z1z2*,z1,z2,z1z2
4079,4s37r+3b1z3*,b1,z3,b1z3
4080,6+s17z3m2o1*,m2,o1,m2o1
4081,4+s28z2f1z3*,f1,z3,f1z3
4082,6+b28z2b1*,z2,b1,z2b1
4083,6+f28v3b2v2l3v^3*,v2,l3,v2l3
4084,4+b38v3b1z1*,b1,z1,b1z1
4085,4s28f1s1b3f3b1b1f1s2b1s2f1s+3b3*,f1,b3,f1b3
4086,4+f27z3b1*,z3,b1,z3b1
4087,5+b17z2b1z1*,b1,z1,b1z1
4088,6+s27z2s3v2z2*,v2,z2,v2z2
4089,4f28f1s2f1b2f2s2b2b2b2s+3m2o1*,m2,o1,m2o1
4090,6+s28v1b1v3*,b1,v3,b1v3
4091,6+f27i2r3*,i2,r3,i2r3
4092,6+b37v3b3v1*,b3,v1,b3v1
4093,4s27f+1b2v3*,b2,v3,b2v3
4094,6+f27h2m2p2b1*,p2,b1,p2b1
4095,4+f27z2f3*,z2,f3,z2f3
4096,6+f28v3m1o3*,m1,o3,m1o3
4097,4+f17z2b1z2*,b1,z2,b1z2
4098,6+b27f1b1*,f1,b1,f1b1
4099,6+f37b2b1*,b2,b1,b2b1
4100,6+s27z1b3z3*,b3,z3,b3z3
4101,4+f17z3b3v1*,b3,v1,b3v1
4102,4+b27z3f3*,z3,f3,z3f3
4103,4b18f1s3b2r+1f1z3b3*,z3,b3,z3b3
4104,6+s27z1b3*,z1,b3,z1b3
4105,5f28f2b2b2s+2b1z1*,b1,z1,b1z1
4106,6s28f+1m1o1m2o3*,m2,o3,m2o3
4107,6+b27z3b1*,z3,b1,z3b1
4108,6+s27v3b1z2*,b1,z2,b1z2
4109,c4+f18z3b3h1*,b3,h1,b3h1
4110,4+f38v2b2z3*,b2,z3,b2z3
4111,4+b27z2b1*,z2,b1,z2b1
4112,6+b27v2b1v3*,b1,v3,b1v3
4113,4+f38v2b3*,v2,b3,v2b3
4114,4+b28v3m2o1*,m2,o1,m2o1
4115,6+b28v3m1o1*,m1,o1,m1o1
4116,4b29b1f2s3b1s3b3f3f2s2b3f3f+2b1v;3*,f3,b1,f3b1
4117,6+b27z3b3v1*,b3,v1,b3v1
4118,6+s37f1f3*,f1,f3,f1f3
4119,6+b28v3b2z1*,b2,z1,b2z1
4120,4+f28v3b3v2*,b3,v2,b3v2
4121,6+s37z3f1*,z3,f1,z3f1
4122,6+f27v3b3v3*,b3,v3,b3v3
4123,6+f+;27s2z3z1*,z3,z1,z3z1
4124,6+f27i2f1*,i2,f1,i2f1
4125,4+s28z1m3o3*,m3,o3,m3o3
4126,6+b28v3f1v1*,f1,v1,f1v1
4127,6+f27f1f3*,f1,f3,f1f3
4128,6+b27v3f1v1*,f1,v1,f1v1
4129,4+f37z1b1*,z1,b1,z1b1
4130,c6+s27v3f3*,v3,f3,v3f3
4131,4+b28z3l2o1*,l2,o1,l2o1
4132,c6+f28v3b1z1*,b1,z1,b1z1
4133,4+f27i3f1v1*,f1,v1,f1v1
4134,4+b18v1l1o1*,l1,o1,l1o1
4135,4+b28z3l2o1*,l2,o1,l2o1
4136,4+s27h2f1*,h2,f1,h2f1
4137,6+s27z2s3z1*,s3,z1,s3z1
4138,c4+s17h3f1*,h3,f1,h3f1
4139,6b38f3b2b3b3f3b3f3s3r+3b2v3*,b2,v3,b2v3
4140,6b27y+3s1z2*,s1,z2,s1z2
4141,4b38f2f+1b1v3*,b1,v3,b1v3
4142,6b37f+3m1o1*,m1,o1,m1o1
4143,4b37f+2f2z3m2o3*,m2,o3,m2o3
4144,6+b27h2f+3z2i2z3*,i2,z3,i2z3
4145,6b38f3b3b3b3b3f3f+2f1z^3*,f3,f1,f3f1
4146,4f28f3s2r1f1b2s+3f3*,b2,f3,b2f3
4147,4b37f3b2b3b3f2b3f3b2s3b3f3b2f1f1b+3b3v1f1*,v1,f1,v1f1
4148,6f28b3b3f3b1s+3m+1l2o1m2f2s+3b1*,f2,b1,f2b1
4149,4b38f3b3f3b3f2f3f3b1*,f3,b1,f3b1
4150,4f18b3b3f3s2b2f1b1f3f3b3f1f3*,f1,f3,f1f3
4151,6b28f1f1b+3b1z1*,b1,z1,b1z1
4152,4b38f1f1s1f2f+3b3v^1*,f2,b3,f2b3
4153,4f28f3b+1b2h1m3p2v1f1z^3*,v1,f1,v1f1
4154,6+b37z1m3p;1s+3b3*,m3,b3,m3b3
4155,4b38f+2f2z3*,f2,z3,f2z3
4156,4b38f2f+1b2v1b2v1b1v3*,b1,v3,b1v3
4157,6f27f2y+3b1*,f2,b1,f2b1
4158,4+f38z1m3o1*,m3,o1,m3o1
4159,6b28f1f1b3b1b1f1b1f3f3s1b1f2f+3s1z1*,s1,z1,s1z1
4160,6+b27v1b1*,v1,b1,v1b1
4161,4b38f3b2s+3b2z3b2z^3*,z3,b2,z3b2
4162,4b28f1f1b+3*,f1,f1,f1f1
4163,6b28b3s2b3b3f3s1b1f2b+3s2v1*,s2,v1,s2v1
4164,4b37f3b2s3s+2b2z1m3p3*,m3,p3,m3p3
4165,4f38s2s2f2y+3s1m3o2f1*,o2,f1,o2f1
4166,6b38b3f3b3u1f3*,u1,f3,u1f3
4167,6b28f1f1s+3b1z2*,b1,z2,b1z2
4168,6b18b3b2f+2l1o3*,l1,o3,l1o3
4169,6+f28v1b1v^3r1*,b1,r1,b1r1
4170,c4+s17v3l3*,v3,l3,v3l3
4171,4f28f1b1f1s3b1b+3b3v^1r3v1z2*,v1,z2,v1z2
4172,6b28f1f3f+1*,f1,f3,f1f3
4173,4f18f2f+2b1*,f2,b1,f2b1
4174,4+b38z2f1*,z2,f1,z2f1
4175,6b28f1f1b+1f2v3*,f2,v3,f2v3
4176,4+b38z3f3z2*,f3,z2,f3z2
4177,6+f27z1r1*,z1,r1,z1r1
4178,6+f37i3b1v1*,b1,v1,b1v1
4179,6+b17v3b1*,v3,b1,v3b1
4180,4+f27v3m1f-1l1o1*,l1,o1,l1o1
4181,6+b27z3b1v1*,b1,v1,b1v1
4182,4+f27z3b3*,z3,b3,z3b3
4183,6+f37z2f1*,z2,f1,z2f1
4184,4+b27v3m3z3s3z1*,s3,z1,s3z1
4185,6+f28z3b3z1*,b3,z1,b3z1
4186,6+b28v3b3*,v3,b3,v3b3
4187,6+b27z1f2v^3*,z1,f2,z1f2
4188,6+f38z3b2z1l2o1r2f+3b1v1*,b1,v1,b1v1
4189,c6+b38z3m3*,z3,m3,z3m3
4190,6+b27z2b+1v3z3*,v3,z3,v3z3
4191,6+b28z3b1v1*,b1,v1,b1v1
4192,4+b38z2f3*,z2,f3,z2f3
4193,4+b27z3b1v1*,b1,v1,b1v1
4194,6+f28v2b3*,v2,b3,v2b3
4195,c6+s37z2f1*,z2,f1,z2f1
4196,4+b27v3b1v^3*,v3,b1,v3b1
4197,6+f27i3m+3m1o1*,m1,o1,m1o1
4198,6+s27z2f2z1*,f2,z1,f2z1
4199,6+b27v2f3*,v2,f3,v2f3
4200,4+b17v3b1v1*,b1,v1,b1v1
4201,4+b28v1f1v3*,f1,v3,f1v3
4202,6+s17h3b3*,h3,b3,h3b3
4203,6+s27z3m3o1*,m3,o1,m3o1
4204,5+b2v3b2v1*,b2,v1,b2v1
4205,4+b3z2f1*,z2,f1,z2f1
4206,4+f27r1b1v3*,b1,v3,b1v3
4207,4+s2v3f1*,v3,f1,v3f1
4208,4+s2z2b1*,z2,b1,z2b1
4209,4+b2v1l2o3*,l2,o3,l2o3
4210,5+f2v1f-3v3o2*,v3,o2,v3o2
4211,5+f2v2b3*,v2,b3,v2b3
4212,4+b2z3l3*,z3,l3,z3l3
4213,6+b3z1b3z1*,b3,z1,b3z1
4214,5f29f1s3s+1b3*,s3,b3,s3b3
4215,5f29f1b1f1b3s+1b3z3f1*,z3,f1,z3f1
4216,6+b37i2b-1f2*,i2,f2,i2f2
4217,5+f2v2b3z2b-1f1*,z2,f1,z2f1
4218,4+f2v1b2f2*,b2,f2,b2f2
4219,6+b37h2b1*,h2,b1,h2b1
4220,6+b1z2b3*,z2,b3,z2b3
4221,6+f2v2l2o2b2b3f3s+1b1*,f3,b1,f3b1
4222,4+b37i3f1*,i3,f1,i3f1
4223,6+f27b-3l3o1*,l3,o1,l3o1
4224,4+b17h1f1*,h1,f1,h1f1
4225,6+b3z3f2v1*,f2,v1,f2v1
4226,4+f2v2b2v1*,b2,v1,b2v1
4227,4+f37f3b1z3*,b1,z3,b1z3
4228,4+b27i3b1v3*,b1,v3,b1v3
4229,5+f37b1s1v3*,s1,v3,s1v3
4230,5+b2v2b3*,v2,b3,v2b3
4231,5s28b+3b3v1*,b3,v1,b3v1
4232,4+s28z3b2v1*,b2,v1,b2v1
4233,c6+b28v1b3*,v1,b3,v1b3
4234,6s38f2s2f+2m2o3s1*,o3,s1,o3s1
4235,4f28f1f1b+3*,f1,f1,f1f1
4236,4+s27h2l1z3s3v1*,s3,v1,s3v1
4237,4+b38z2l3o3*,l3,o3,l3o3
4238,4f27f+3m2o3*,m2,o3,m2o3
4239,6f27s+2l2o2f2z^1*,o2,f2,o2f2
4240,4+s28z1l3o3*,l3,o3,l3o3
4241,4+b27h1b2v^1*,h1,b2,h1b2
4242,4+s28z1l2o3*,l2,o3,l2o3
4243,6+f28i1b1*,i1,b1,i1b1
4244,5+s28z3b3v1*,b3,v1,b3v1
4245,5+f27z3s1*,z3,s1,z3s1
4246,6+s27z2b3*,z2,b3,z2b3
4247,5+f28z2b1v1*,b1,v1,b1v1
4248,4+f17h2b1v3s3*,v3,s3,v3s3
4249,6+f28v3b1v1*,b1,v1,b1v1
4250,6+b18v2m1o1*,m1,o1,m1o1
4251,5+f28v3s3z1r1*,z1,r1,z1r1
4252,5+s37s3s3z1*,s3,z1,s3z1
4253,4+s28z1l2o1*,l2,o1,l2o1
4254,c4+s28v3b2z2*,b2,z2,b2z2
4255,5+s37z3b+1f3z3m3o2*,m3,o2,m3o2
4256,4+s27v3l2v3b1*,v3,b1,v3b1
4257,6+s17v3m2o=1*,v3,m2,v3m2
4258,4+s18v3b3*,v3,b3,v3b3
4259,5+f28z3m2o1*,m2,o1,m2o1
4260,6+s27z3f;2f1l2p2f2v2v1v1*,v1,v1,v1v1
4261,5+s27z1f2z3*,f2,z3,f2z3
4262,6+s27v3m2o1*,m2,o1,m2o1
4263,c5+s27z1f1*,z1,f1,z1f1
4264,5+b37z2f1*,z2,f1,z2f1
4265,6+b18v2m2o1*,m2,o1,m2o1
4266,6+s27v1f1*,v1,f1,v1f1
4267,6+f28v2b1*,v2,b1,v2b1
4268,5+s27v1l1o3*,l1,o3,l1o3
4269,6+s37z1l3p3*,l3,p3,l3p3
4270,4+f28v3s1v2*,s1,v2,s1v2
4271,6+f28z1f3z3*,f3,z3,f3z3
4272,5+s17v1f3z3*,f3,z3,f3z3
4273,5+s27h3s2s2*,s2,s2,s2s2
4274,4+r27r3b1v2*,b1,v2,b1v2
4275,6+f28v3b1v1f1*,v1,f1,v1f1
4276,5+s18v1f1v^1*,v1,f1,v1f1
4277,6+b28v3b2z1*,b2,z1,b2z1
4278,5+s27z3l3o3b2v1*,b2,v1,b2v1
4279,4+f28h2b2z1f2v3*,f2,v3,f2v3
4280,c5+s17v3m1o1l1o=1*,o1,l1,o1l1
4281,4+b38i3b1v1*,b1,v1,b1v1
4282,6+s27v3s1v1*,s1,v1,s1v1
4283,4+f1v1l1o3b2z1*,b2,z1,b2z1
4284,6+s2v3b1v1f1*,v1,f1,v1f1
4285,6+s2v3s3z1*,s3,z1,s3z1
4286,6+s1v3b3z1*,b3,z1,b3z1
4287,6+b27s-2f1v3s3z1l3o3*,l3,o3,l3o3
4288,4+s37s-3m3o2s2j1l1o3m2o1*,m2,o1,m2o1
4289,6+s27s-3m3o3*,m3,o3,m3o3
4290,6+s27h2b3z3*,b3,z3,b3z3
4291,4+b37i3f1*,i3,f1,i3f1
4292,6+s2v3b3z;1*,v3,b3,v3b3
4293,6+s2v3m1o1*,m1,o1,m1o1
4294,4+b3v1l1o3*,l1,o3,l1o3
4295,6+f2z3s3z3s1*,z3,s1,z3s1
4296,5+s2v1l1o1*,l1,o1,l1o1
4297,4+f;2v3s1v1*,s1,v1,s1v1
4298,6+s2z3b3*,z3,b3,z3b3
4299,5+f1v3b3*,v3,b3,v3b3
4300,4+b3z1l2o1f1v3*,f1,v3,f1v3
4301,6+f38i3l3o3s2v3*,s2,v3,s2v3
4302,6+s2v1f2v2*,f2,v2,f2v2
4303,4+s3z1l2o1*,l2,o1,l2o1
4304,6+s3z3b3z1r3*,z1,r3,z1r3
4305,6+s1v1f2z3m2o3*,m2,o3,m2o3
4306,4+b27b-3b1v1*,b1,v1,b1v1
4307,6+s2z3m2o1*,m2,o1,m2o1
4308,6+s1v1f1v1*,f1,v1,f1v1
4309,5+b3z3b3*,z3,b3,z3b3
4310,6+s1v1l1f2f1f3s1f1r+3b1v1*,b1,v1,b1v1
4311,6+s1v3m+3b3v2*,b3,v2,b3v2
4312,4+s2v1l1o2*,l1,o2,l1o2
4313,6+f2v3m2o3*,m2,o3,m2o3
4314,5+b2z3s3*,z3,s3,z3s3
4315,6+f2v3s1*,v3,s1,v3s1
4316,6+s27z2f2z2m2o3*,m2,o3,m2o3
4317,6+b38v3s3v^3*,v3,s3,v3s3
4318,4+s27v1s3*,v1,s3,v1s3
4319,4+s37z3f3*,z3,f3,z3f3
4320,4+s17v^2r3z1*,r3,z1,r3z1
4321,4+s17s3m2o1*,m2,o1,m2o1
4322,4+s38z3f1*,z3,f1,z3f1
4323,5+f28z2b1*,z2,b1,z2b1
4324,6+s17h2b1*,h2,b1,h2b1
4325,6+s38z1m3o1*,m3,o1,m3o1
4326,6+s27z3m1o1*,m1,o1,m1o1
4327,c4+b28z2l2o2f2f2r+1*,f2,f2,f2f2
4328,6+s17z3m1o=1*,z3,m1,z3m1
4329,c6+f18v1m2o3*,m2,o3,m2o3
4330,6+f37s3f1*,s3,f1,s3f1
4331,4+b28v1m1o2s2z1b1*,z1,b1,z1b1
4332,6+b28z1l2o3*,l2,o3,l2o3
4333,5+s17i2b1z3s+1z3m1b2v3*,b2,v3,b2v3
4334,6+b28v3m2o2*,m2,o2,m2o2
4335,4+f17f1m2o3*,m2,o3,m2o3
4336,4+b17i2f3v1l+1m2o3f3*,o3,f3,o3f3
4337,6+s17z3m2o2*,m2,o2,m2o2
4338,4+s38i2f1v1*,f1,v1,f1v1
4339,4+b27z3l1o1*,l1,o1,l1o1
4340,6+b2z3b3*,z3,b3,z3b3
4341,6+b27h3b3*,h3,b3,h3b3
4342,4+s1v1s3z3*,s3,z3,s3z3
4343,4+f2z3s2v2*,s2,v2,s2v2
4344,5+f2z3m2o1*,m2,o1,m2o1
4345,5+b2v3b1z1f2*,z1,f2,z1f2
4346,5+s1z3b2v1*,b2,v1,b2v1
4347,5+f2z1b3z3f1*,z3,f1,z3f1
4348,c6+b2z1b2v1m2o3*,m2,o3,m2o3
4349,5+f27i2b1z3b2v1f2z2*,f2,z2,f2z2
4350,4+f2i1b1*,i1,b1,i1b1
4351,5+f2h3b1*,h3,b1,h3b1
4352,4+f2z3b1z^3b-3*,z3,b1,z3b1
4353,6+f2z3m2o3*,m2,o3,m2o3
4354,4+b2z1l3v3*,l3,v3,l3v3
4355,5+f37i2l3*,i2,l3,i2l3
4356,5+s27i1m1p3r+1z2v1*,z2,v1,z2v1
4357,6+s28z2f1*,z2,f1,z2f1
4358,4+s17z2s;1s3*,z2,s3,z2s3
4359,c6+b28z2b3*,z2,b3,z2b3
4360,c4+b17z1s1*,z1,s1,z1s1
4361,6+s27v2s3*,v2,s3,v2s3
4362,6+s27z2m1o3*,m1,o3,m1o3
4363,4+s17z1s2*,z1,s2,z1s2
4364,5+b28z2b1*,z2,b1,z2b1
4365,5+b28z1m1o3*,m1,o3,m1o3
4366,4+f18z1m2o3*,m2,o3,m2o3
4367,4s27f+1b2v2b3v3f1z1*,f1,z1,f1z1
4368,4+s28z1m2o3*,m2,o3,m2o3
4369,5+b18z1b1*,z1,b1,z1b1
4370,4+s18z1s3*,z1,s3,z1s3
4371,6+f27v1s3v1*,s3,v1,s3v1
4372,5+b18z1b3f3f1s+3*,f3,f1,f3f1
4373,5+b28z1m1o3*,m1,o3,m1o3
4374,6+b28v3f3*,v3,f3,v3f3
4375,5+f28v1b2z1m2o1*,m2,o1,m2o1
4376,6+b27f3f3v1b3v3*,b3,v3,b3v3
4377,c5+s27z1m1o3*,m1,o3,m1o3
4378,6+f27z1s1z^1*,z1,s1,z1s1
4379,c4+f28z2m3o1*,m3,o1,m3o1
4380,c5+b28z1m2o1*,m2,o1,m2o1
4381,6+s17z1m2o1m2o3*,m2,o3,m2o3
4382,5+f27v2b3v1m3o1*,m3,o1,m3o1
4383,6+b17i1s1z2v2*,z2,v2,z2v2
4384,4+s18z3l1o3*,l1,o3,l1o3
4385,4+s38v3f1z1*,f1,z1,f1z1
4386,4+s28v3f1*,v3,f1,v3f1
4387,4+b18z3f3v1*,f3,v1,f3v1
4388,6+b28z1m1o1s2f3f3v^1*,f3,f3,f3f3
4389,4b3b2f1*,b2,f1,b2f1
4390,6f2f2f1f2b2f+3*,f2,b2,f2b2
4391,4+f2z2v3*,z2,v3,z2v3
4392,6b2f+2b3z1f-3*,b3,z1,b3z1
4393,5f2f1f1f1f2f3*,f2,f3,f2f3
4394,5b2f3b2f1*,b2,f1,b2f1
4395,5b1r3y1*,r3,y1,r3y1
4396,5f18s28s+29m2p37*,m2,p3,m2p3
4397,5f39b29f29f18b38*,f1,b3,f1b3
4398,4b39b37f+18f39*,b3,f3,b3f3
4399,6b37s19f19*,s1,f1,s1f1
4400,5f28f28f18b18f;17y37*,b1,y3,b1y3
4401,5f39f38u37*,f3,u3,f3u3
4402,6f27s18f29f+37s2z18*,s2,z1,s2z1
4403,6b28f28b19f38r38y37f-38s27*,y3,s2,y3s2
4404,4m29f17b38s38f+38b19*,s3,b1,s3b1
4405,5b38b39b38b38b19*,b3,b1,b3b1
