,combined,total_occurrences,num_of_winners_or_forced_errors,percentage_of_winner,percentage_of_total_occurences_of_combination,percentage_of_overall_winner
1129,z3f;3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1128,z1k3,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1105,z3s;1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1104,y-1l-1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1103,u+3m-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1102,v^1r1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1081,v2v1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1080,f2j1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1079,y+3b1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1078,f-3b2,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1077,l3o=1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1076,z1f-2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1075,s3b-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1074,l3v3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1073,h3m2,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1072,f+1f;3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1071,f2s+2,2,0,0.0,8.725242125468982e-05,0.0
1070,u-3r-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1069,l3f3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1068,s3b-1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1067,s2z^1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1066,f+;1f3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1065,s3v^2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1082,o=1f3,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1083,m1l1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1084,s;2r2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1094,v;1f1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1101,z;3b1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1100,f+2f2,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
