,rally,receiving_shot,returned_shot,combined,is_winner,is_forced_error,is_winner_or_forced_error
12089,6+s27z1b1w#,z1,b1,z1b1,0,1,1
12090,5f28b3f3f3f+3f2v1*,f2,v1,f2v1,1,0,1
12091,6f28b1s2f1b1b1s+2n@,b1,s+2,b1s+2,0,0,0
12092,4f29f2f1n@,f2,f1,f2f1,0,0,0
12093,c6f28b2s3f3f1w@,f3,f1,f3f1,0,0,0
12094,5f39f3f2f+1b3*,f+1,b3,f+1b3,1,0,1
12095,4f29b2f3r+1b2d@,r+1,b2,r+1b2,0,0,0
12096,6+f27z3f1*,z3,f1,z3f1,1,0,1
12097,6+f27i3f2*,i3,f2,i3f2,1,0,1
12098,6+f17z2f+3v2z1*,v2,z1,v2z1,1,0,1
12099,4+f27z1m1o1*,m1,o1,m1o1,1,0,1
12100,6f18b1b2f1s+2b1*,s+2,b1,s+2b1,1,0,1
12101,6s28f1s2f1s2d@,f1,s2,f1s2,0,0,0
12102,6f27f+1m3w#,f+1,m3,f+1m3,0,1,1
12103,6+f17z3f;3*,z3,f;3,z3f;3,1,0,1
12104,4+b27z1m1o2*,m1,o2,m1o2,1,0,1
12105,5f29b2f2b+1b1z3*,b1,z3,b1z3,1,0,1
12106,5s18f3f2b2s2f2f2b1s+2b1*,s+2,b1,s+2b1,1,0,1
12107,6f18b3f2f+1b2v3*,b2,v3,b2v3,1,0,1
12108,c6+f28v2f3v1m2o3*,m2,o3,m2o3,1,0,1
12109,5f28b1s2n@,b1,s2,b1s2,0,0,0
12110,6f27b+1b1z3*,b1,z3,b1z3,1,0,1
12111,4+f27z2b1n@,z2,b1,z2b1,0,0,0
12112,4+f27h2f+2b2z3*,b2,z3,b2z3,1,0,1
12113,4s28b+1b1z3f2v1*,f2,v1,f2v1,1,0,1
12114,4f28f2f1b2s2f+3f11w@,f+3,f1,f+3f1,0,0,0
12115,4+f18z2m2d#,z2,m2,z2m2,0,1,1
12116,6b38j-3f1d@,j-3,f1,j-3f1,0,0,0
12117,5f18k-2f3f3f2b2s+2b1*,s+2,b1,s+2b1,1,0,1
12118,6f27b1b2s3f3f3f2b1b2j+3l3d#,j+3,l3,j+3l3,0,1,1
12119,4+b27v2b3v2m2o3*,m2,o3,m2o3,1,0,1
12120,6s29f3f3r+1m2o3f1d#,o3,f1,o3f1,0,1,1
12121,5+f28v3f1h1*,f1,h1,f1h1,1,0,1
12122,4+s27z1l2o=3s1x#,o=3,s1,o=3s1,0,1,1
12123,4b29f2b2b1n@,b2,b1,b2b1,0,0,0
12124,4s27b2f1b1f1b2f2f2n@,f2,f2,f2f2,0,0,0
12125,6+s27v3b1v1f1*,v1,f1,v1f1,1,0,1
12126,4+s27h3f1w#,h3,f1,h3f1,0,1,1
12127,6+s27v1b1*,v1,b1,v1b1,1,0,1
12128,4+b38i2m3o3*,m3,o3,m3o3,1,0,1
12129,5f27f+3b1n@,f+3,b1,f+3b1,0,0,0
12130,5b28b1f1b2f2f2s2f3b2f1f2s1f1s1f2f3s3f3s1b1f2d@,b1,f2,b1f2,0,0,0
12131,6+b27h1s+3z1z2*,z1,z2,z1z2,1,0,1
12132,5+b28v1m2o1b3n#,o1,b3,o1b3,0,1,1
12133,6+s+38v2h1*,v2,h1,v2h1,1,0,1
12134,4s37r+3b1z3*,b1,z3,b1z3,1,0,1
12135,5f17s1f1b1f1b2f3f2s1s+3s2v1l1o3s#,l1,o3,l1o3,0,1,1
12136,4s27s+2b1n@,s+2,b1,s+2b1,0,0,0
12137,6+s17z3m2o1*,m2,o1,m2o1,1,0,1
12138,4f18b3s2n#,b3,s2,b3s2,0,1,1
12139,6+b27v2l2d#,v2,l2,v2l2,0,1,1
12140,4f27f+3b3n#,f+3,b3,f+3b3,0,1,1
12141,4+s28z2f1z3*,f1,z3,f1z3,1,0,1
12142,4s28r2f2d@,r2,f2,r2f2,0,0,0
12143,6+b27v3f;1*,v3,f;1,v3f;1,1,0,1
12144,4+b28i1m1o3n@,m1,o3,m1o3,0,0,0
12145,6+b27z1b3z2n#,b3,z2,b3z2,0,1,1
12146,4+b28b3f3w@,b3,f3,b3f3,0,0,0
12147,c4f28f3b3d@,f3,b3,f3b3,0,0,0
12148,6+b28z;2b2n@,z;2,b2,z;2b2,0,0,0
12149,4f17s+3m2o=2b3f3s2f3s3f3s1s1f2s+3b3w@,s+3,b3,s+3b3,0,0,0
12150,6+b28z2b1*,z2,b1,z2b1,1,0,1
12151,6+f28v3b2v2l3v^3*,l3,v^3,l3v^3,1,0,1
12152,6+b37v2l2d#,v2,l2,v2l2,0,1,1
12153,4+b38v3b1z1*,b1,z1,b1z1,1,0,1
12154,6s39b3f3d@,b3,f3,b3f3,0,0,0
12155,4s28f1s1b3f3b1b1f1s2b1s2f1s+3b3*,s+3,b3,s+3b3,1,0,1
12156,4+f27z3b1*,z3,b1,z3b1,1,0,1
12157,5+b17z2b1z1*,b1,z1,b1z1,1,0,1
12158,6+s27f3f1w#,f3,f1,f3f1,0,1,1
12159,6b37b3f2f+1b3w#,f+1,b3,f+1b3,0,1,1
12160,6+s27z2s3v2z2*,v2,z2,v2z2,1,0,1
12161,4f28f1s2f1b2f2s2b2b2b2s+3m2o1*,m2,o1,m2o1,1,0,1
12162,5f28f2s1f2b2b+1b3z2n#,b3,z2,b3z2,0,1,1
12163,4b39f3f3f1s1d#,f1,s1,f1s1,0,1,1
12164,5r28f1s2f2b2f1s1n@,f1,s1,f1s1,0,0,0
12165,6+s28v1b1v3*,b1,v3,b1v3,1,0,1
12166,6+b27v3b1z2r;1s3n#,r;1,s3,r;1s3,0,1,1
12167,6+f27i2r3*,i2,r3,i2r3,1,0,1
12168,6+b37v3b3v1*,b3,v1,b3v1,1,0,1
12169,4s27f+1b2v3*,b2,v3,b2v3,1,0,1
12170,6+s27z2l3d@,z2,l3,z2l3,0,0,0
12171,6+f27h2m2p2b1*,p2,b1,p2b1,1,0,1
